ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.29,11.55,56.18,5.98,0.0
26.4,12.0,55.6,6.0,0.0
32.15,8.36,51.45,8.04,0.0
28.0,11.6,54.4,6.0,0.0
29.06,11.32,53.58,6.04,0.0
28.57,10.53,55.26,5.64,0.0
28.29,11.16,54.18,6.37,0.0
26.32,11.34,56.28,6.07,0.0
26.27,10.98,56.86,5.88,0.0
26.21,11.69,56.05,6.05,0.0
31.76,8.18,51.89,8.18,0.0
27.27,10.14,55.59,6.99,0.0
24.79,13.68,53.42,8.12,0.0
25.4,12.5,53.23,8.87,0.0
28.75,8.31,52.08,10.86,0.0
29.78,8.15,51.1,10.97,0.0
31.15,8.1,50.47,10.28,0.0
26.78,13.39,53.14,6.69,0.0
27.78,14.1,51.28,6.84,0.0
28.96,11.97,50.97,7.72,0.39
26.02,11.15,53.16,8.92,0.74
25.94,12.13,56.49,5.44,0.0
26.21,11.69,56.05,6.05,0.0
26.1,10.84,57.03,5.62,0.4
31.07,8.41,51.46,9.06,0.0
28.03,10.61,53.41,7.95,0.0
27.69,11.54,53.46,7.31,0.0
26.88,10.04,54.12,8.96,0.0
27.11,16.89,48.89,7.11,0.0
27.07,12.41,53.76,6.77,0.0
27.6,11.11,54.12,7.17,0.0
27.59,15.52,50.43,6.03,0.43
28.24,17.25,48.24,6.27,0.0
27.91,12.4,53.88,5.81,0.0
29.82,10.55,53.09,5.82,0.73
28.87,9.86,54.58,5.99,0.7
27.94,12.15,54.25,5.67,0.0
27.6,10.75,55.2,6.45,0.0
29.33,10.6,54.77,5.3,0.0
29.23,10.92,54.58,5.28,0.0
28.47,10.32,55.16,6.05,0.0
27.8,10.47,54.51,6.14,1.08
27.87,10.1,55.75,6.27,0.0
29.14,12.23,51.8,6.83,0.0
26.74,9.72,55.9,6.6,1.04
26.21,12.5,53.63,7.66,0.0
29.0,11.52,52.42,7.06,0.0
28.95,11.65,52.63,6.77,0.0
28.96,12.36,52.12,6.56,0.0
24.89,12.66,55.7,6.75,0.0
27.88,11.52,54.28,6.32,0.0
26.77,11.52,54.28,7.43,0.0
25.57,12.21,55.73,6.11,0.38
27.08,10.83,55.23,6.86,0.0
27.08,11.46,54.86,6.6,0.0
27.14,11.43,55.0,6.07,0.36
27.11,11.27,54.93,5.99,0.7
27.05,10.27,56.16,6.51,0.0
26.05,11.11,57.09,5.75,0.0
26.64,10.58,56.2,6.57,0.0
25.64,10.62,57.14,6.59,0.0
25.71,10.71,57.14,6.43,0.0
25.0,11.54,56.15,6.92,0.38
27.24,12.41,54.14,6.21,0.0
26.88,11.11,55.2,6.81,0.0
27.96,10.53,54.61,6.91,0.0
27.08,11.19,55.23,6.5,0.0
26.95,10.28,56.03,6.74,0.0
26.6,10.64,55.32,6.74,0.71
25.86,12.55,54.75,6.84,0.0
29.9,9.62,54.3,6.19,0.0
25.35,9.86,57.75,7.04,0.0
25.93,8.64,58.64,6.79,0.0
26.8,10.31,56.36,6.53,0.0
27.82,11.62,54.23,6.34,0.0
26.55,11.27,55.27,6.55,0.36
26.64,11.31,55.47,6.57,0.0
